2018/11/02;98.95;7808907654
2018/11/05;22.50;7801234567
2018/11/10;86.45;7807890123
2018/11/15;88.50;7807890123
2018/11/15;34.97;7804922860
2018/11/15;85.15;7809876543
2018/11/15;50.20;7801234567
2018/11/18;45.95;7804922860
2018/11/21;97.35;7804922860
2018/11/26;56.75;7803214567
2018/11/27;58.15;7809876543
2018/11/28;67.80;7801236789
2018/11/30;65.95;7801236789
2018/11/30;72.50;7801234567
2018/11/30;12.75;7804321098
2018/11/30;73.65;7801236789
2018/11/30;64.85;7807890123
2018/11/30;120.5;7808765432
2018/11/30;500.55;7804321098
